저;ich
하회탈;Hahoe-Maske (traditionelle Maske aus Hahoe)
전라북도;Jeollabuk-do (Bundesland Koreas)
전주;Jeonju (Stadt in Jeollabuk-do)
바닥;Boden
해안가;Küste
지갑;Geldbörse
그렇다 (그런);so, solch
모니터;Monitor
멀티 플레이어;Multitasker
자리;Sitz, Platz
모델;Modell
남녀;Mann und Frau
농구선수;Basketball-Spieler
화가;Maler
호랑이;Tiger
인형;Puppe
땅;Erde
시베리아;Sibirien
숙소;Unterkunft
중심가;Zentrum
맛집;leckeres Restaurant
지하철역;U-Bahnstation
고추장;Chilipaste
식;Stil, Art
달;Mond
별;Stern
불;Feuer, Licht
색/색깔;Farbe
원피스;Kleid
블라우스;Bluse
성격;Persönlichkeit
어린이;Kind
표현;Ausdruck
슬리퍼;Pantoffeln
결혼식;Hochzeit
고깃집;Fleischrestaurant, Grillrestaurant
프라이드 치킨;frittiertes Huhn
회의;Besprechung
서랍;Schublade
벨;Glocke
PC방/피시방;PC-Café
찜질방;Koreanische Sauna
사우나;Sauna
해;Jahr
화장지;Toilettenpapier
짐;Gepäck
코트;Mantel
재킷;Jacke
부츠;Stiefel
구두;formelle Schuhe
수영복;Badeanzug
표;Karte, Ticket
왕복;hin und zurück
식혜;traditionelles koreanisches Reisgetränk
전통;Tradition
거짓말;Lüge
교실;Klassenzimmer
노트북;Laptop
사투리;Dialekt
산속;in den Bergen
화산;Vulkan
돌;Stein
정상;Gipfel
돌하르방;Steinfiguren auf Jeju
관광지;Touristenort
한정식;traditionelle koreanische Mahlzeit mit vielen Banchan
한라봉;Zitrusfrucht aus Jeju
귤;Mandarine
떡볶이;Tteokbokki, Reiskuchen in Chilipaste-Soße
빌딩;Gebäude
주소;Adresse
한강;Han-Fluss
양념치킨;fritiertes Hähnchen mit scharfer Sauce
